@relation menu-weka.filters.unsupervised.attribute.Add-NSize-Clast-W1.0-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-NPrice-Clast-W1.0

@attribute Category {Breakfast,'Beef & Pork','Chicken & Fish','Snacks & Sides',Desserts,Beverages,'Coffee & Tea','Smoothies & Shakes'}
@attribute Item string
@attribute Calories numeric
@attribute 'Calories from Fat' numeric
@attribute 'Total Fat (\% Daily Value)' numeric
@attribute 'Saturated Fat (\% Daily Value)' numeric
@attribute 'Trans Fat' numeric
@attribute 'Cholesterol (\% Daily Value)' numeric
@attribute 'Sodium (\% Daily Value)' numeric
@attribute 'Carbohydrates (\% Daily Value)' numeric
@attribute 'Dietary Fiber (\% Daily Value)' numeric
@attribute Sugars numeric
@attribute Protein numeric
@attribute 'Vitamin A (\% Daily Value)' numeric
@attribute 'Vitamin C (\% Daily Value)' numeric
@attribute 'Calcium (\% Daily Value)' numeric
@attribute 'Iron (\% Daily Value)' numeric
@attribute Size numeric
@attribute Price numeric

@data
'Chicken & Fish','Premium Crispy Chicken Ranch BLT Sandwich',610,250,43,31,0,24,58,19,13,11,32,4,20,15,20,8.1,6.8
'Chicken & Fish','Premium Grilled Chicken Ranch BLT Sandwich',450,130,23,22,0,30,51,14,13,9,36,4,20,15,20,7.6,6.3
'Chicken & Fish','Bacon Clubhouse Crispy Chicken Sandwich',750,340,59,51,0.5,31,72,22,15,16,36,8,25,30,15,10,8.3
'Chicken & Fish','Bacon Clubhouse Grilled Chicken Sandwich',590,230,39,42,0,37,65,17,15,14,40,8,30,30,15,9.5,7.9
'Chicken & Fish','Southern Style Crispy Chicken Sandwich',430,170,29,15,0,14,38,14,7,7,21,4,2,15,15,5.6,4.7
'Chicken & Fish',McChicken,360,140,25,15,0,11,33,13,7,5,14,0,2,10,15,5.1,4.3
'Chicken & Fish','Bacon Cheddar McChicken',480,220,38,35,0,21,53,14,8,6,22,4,10,20,15,6,5
'Chicken & Fish','Bacon Buffalo Ranch McChicken',430,190,32,25,0,17,53,14,7,6,20,2,10,15,15,5.7,4.8
'Chicken & Fish','Buffalo Ranch McChicken',360,150,25,16,0,11,41,13,7,5,14,2,2,15,15,5.2,4.3
'Chicken & Fish','Premium McWrap Chicken & Bacon (Crispy Chicken)',630,280,49,45,0.5,26,64,19,13,7,32,60,20,20,20,11.1,9.3
'Chicken & Fish','Premium McWrap Chicken & Bacon (Grilled Chicken)',480,170,28,36,0,32,57,14,13,6,36,60,25,20,20,10.7,8.9
'Chicken & Fish','Premium McWrap Chicken & Ranch (Crispy Chicken)',610,280,47,40,0.5,21,56,19,14,8,27,60,15,20,20,10.9,9.1
'Chicken & Fish','Premium McWrap Chicken & Ranch (Grilled Chicken)',450,160,27,31,0.5,27,49,14,14,6,30,60,15,15,20,10.5,8.8
'Chicken & Fish','Premium McWrap Southwest Chicken (Crispy Chicken)',670,300,51,40,0.5,21,62,23,19,12,27,60,15,20,20,11.1,9.3
'Chicken & Fish','Premium McWrap Southwest Chicken (Grilled Chicken)',520,180,31,32,0,27,55,18,20,10,31,70,15,20,20,11.2,9.3
'Chicken & Fish','Premium McWrap Chicken Sweet Chili (Crispy Chicken)',540,200,35,23,0,16,52,20,13,14,23,60,15,8,20,10.7,8.9
'Chicken & Fish','Premium McWrap Chicken Sweet Chili (Grilled Chicken)',380,90,15,14,0,22,45,16,13,12,27,60,15,8,20,10.3,8.6
'Chicken & Fish','Chicken McNuggets (4 piece)',190,110,18,10,0,9,15,4,2,0,9,0,2,0,2,2.3,1.9
'Chicken & Fish','Chicken McNuggets (6 piece)',280,160,27,15,0,13,22,6,4,0,13,0,2,2,4,3.4,2.8
'Chicken & Fish','Chicken McNuggets (10 piece)',470,270,45,25,0,22,37,10,6,0,22,0,4,2,6,5.7,4.8
'Chicken & Fish','Chicken McNuggets (20 piece)',940,530,91,50,0,44,75,20,12,0,44,0,8,4,10,11.4,9.5
'Chicken & Fish','Chicken McNuggets (40 piece)',1880,1060,182,101,1,89,150,39,24,1,87,0,15,8,25,22.8,19
'Chicken & Fish',Filet-O-Fish,390,170,29,19,0,14,24,13,7,5,15,2,0,15,10,5,4.2
'Snacks & Sides','Chipotle BBQ Snack Wrap (Crispy Chicken)',340,130,23,22,0,11,33,12,6,8,14,4,0,10,10,4.6,3.1
'Snacks & Sides','Chipotle BBQ Snack Wrap (Grilled Chicken)',260,70,13,18,0,14,29,10,6,7,16,4,2,10,10,4.3,2.9
'Snacks & Sides','Honey Mustard Snack Wrap (Crispy Chicken)',330,130,23,22,0,11,30,11,5,3,14,2,0,10,10,4.3,2.9
'Snacks & Sides','Honey Mustard Snack Wrap (Grilled Chicken)',250,70,13,18,0,14,27,9,5,2,16,2,2,10,10,4.1,2.7
'Snacks & Sides','Ranch Snack Wrap (Crispy Chicken)',360,180,30,27,0,13,34,11,5,3,15,2,0,10,10,4.5,3
'Snacks & Sides','Ranch Snack Wrap (Grilled Chicken)',280,120,20,22,0,16,30,8,5,2,16,2,2,10,10,4.3,2.9
'Snacks & Sides','Small French Fries',230,100,17,8,0,0,5,10,10,0,2,0,30,0,4,2.6,1.7
'Snacks & Sides','Medium French Fries',340,140,24,11,0,0,8,15,14,0,4,0,45,2,4,3.9,2.6
'Snacks & Sides','Large French Fries',510,220,37,17,0,0,12,22,22,0,6,0,70,2,8,5.9,3.9
'Snacks & Sides','Kids French Fries',110,50,8,4,0,0,3,5,5,0,1,0,15,0,2,1.3,0.9
'Snacks & Sides','Side Salad',20,0,0,0,0,0,0,1,6,2,1,45,25,2,4,3.1,2.1
'Snacks & Sides','Apple Slices',15,0,0,0,0,0,0,1,0,3,0,0,160,2,0,1.2,0.8
'Snacks & Sides','Fruit n Yogurt Parfait',150,20,3,5,0,2,3,10,3,23,4,2,15,10,4,5.2,3.5
Desserts,'Baked Apple Pie',250,110,19,35,0,0,7,11,15,13,2,4,25,2,6,2.7,2.7
Desserts,'Chocolate Chip Cookie',160,70,12,19,0,3,4,7,3,15,2,2,0,2,8,1,1
Desserts,'Oatmeal Raisin Cookie',150,50,9,13,0,3,6,7,3,13,2,2,0,2,6,1,1
Desserts,'Kids Ice Cream Cone',45,10,2,4,0,2,1,2,0,6,1,2,0,4,0,1,1
Desserts,'Hot Fudge Sundae',330,80,14,34,0,8,7,18,3,48,8,8,0,25,8,6.3,6.3
Desserts,'Hot Caramel Sundae',340,70,12,24,0,10,6,20,0,43,7,10,0,25,0,6.4,6.4
Desserts,'Strawberry Sundae',280,60,10,20,0,8,4,16,0,45,6,8,4,20,0,6.3,6.3
Beverages,'Coca-Cola Classic (Small)',140,0,0,0,0,0,0,13,0,39,0,0,0,0,0,16,1.8
Beverages,'Coca-Cola Classic (Medium)',200,0,0,0,0,0,0,18,0,55,0,0,0,0,0,21,2.3
Beverages,'Coca-Cola Classic (Large)',280,0,0,0,0,0,0,25,0,76,0,0,0,0,0,30,3.2
Beverages,'Coca-Cola Classic (Child)',100,0,0,0,0,0,0,9,0,28,0,0,0,0,0,12,1.4
Beverages,'Diet Coke (Small)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.8
Beverages,'Diet Coke (Medium)',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,2.3
Beverages,'Diet Coke (Large)',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,3.2
Beverages,'Diet Coke (Child)',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1.4
Beverages,'Dr Pepper (Small)',140,0,0,0,0,0,2,12,0,35,0,0,0,0,0,16,1.8
Beverages,'Dr Pepper (Medium)',190,0,0,0,0,0,3,18,0,51,0,0,0,0,0,21,2.3
Beverages,'Dr Pepper (Large)',270,0,0,0,0,0,4,24,0,70,0,0,0,0,0,30,3.2
Beverages,'Dr Pepper (Child)',100,0,0,0,0,0,1,9,0,26,0,0,0,0,0,12,1.4
Beverages,'Diet Dr Pepper (Small)',0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,16,1.8
Beverages,'Diet Dr Pepper (Medium)',0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,21,2.3
